"Zeitstempel","Geschlecht","Wie alt sind Sie?","Bitte wählen Sie Ihre höchste abgeschlossene Ausbildung","In welcher Branche sind Sie tätig?","Wo wohnen Sie?","Was beschreibt Ihre Ernährung am besten?","Essen Sie Leberkäse (auch vegetarisch/vegan)?","Wie oft essen Sie Leberkäse?","Was ist Ihre Lieblingssorte?","Wie spontan entscheiden Sie sich, Leberkäse zu kaufen?","Warum essen Sie keinen Leberkäse?","Essen Sie gerne Essen mit spürbarer Schärfe?","Wie scharf essen Sie normalerweise?","Mögen Sie Essen aus den folgenden kulinarischen Regionen?","Wie oft im Jahr kaufen Sie online Kleidung? (für sich selbst)","Ist es schon einmal vorgekommen, dass Ihnen die Größe eines Artikels (Kleidung) bei einer Bestellung nicht gepasst hat?","In wie vielen Größen bestellen Sie den selben Artikel (um garantiert eine passende Größe zu erhalten)?","Wie viele Artikel kaufen Sie circa in einem Jahr?","Wie viele Artikel werden von Ihnen circa zurückgesendet?","An wie vielen Tagen in der Woche verwenden Sie öffentliche Verkehrsmittel?","Welche öffentliche(n) Verkehrsmittel verwenden Sie?","Wofür verwenden Sie öffentliche Verkehrsmittel?","Welche Aspekte könnte man verbessern, damit Sie öfter öffentliche Verkehrsmittel verwenden?","Zahlen Sie persönlich Fixkosten für das Wohnen? (Miete/Kredit)"," Sie können Ihre Grundbedürfnisse...","Haben Sie seit den Teuerungen Ihr Kaufverhalten verändert?","Wie sieht Ihre Wohnsituation aus?","Gehen Sie seit der Teuerung weniger oft essen?","Kaufen Sie seit der Teuerung weniger Luxusartikel? Denken Sie hier an Güter, die Sie nicht benötigen, um Ihre Grundbedürfnisse zu decken, wie z.B. Kleidung, Accessoires, elektronische Geräte, … ","Teil 1: Wie ist Ihre politische Einstellung?","Teil 2: Wie ist Ihre politische Einstellung?"
"2023/03/28 1:35:24 PM OEZ","Weiblich","30 - 39","Masterstudium","Software & IT-Services","Land","Omnivor (tierische und pflanzliche Lebensmittel)","Ja","weniger als einmal im Monat","Käse","oft spontan","","Ja","2","Italienisch;Österreichisch;Chinesisch;Mexikanisch;Indisch;Thailändisch","einmal im Jahr","Nein","in einer Größe","2","0","0 Tage","","","Preis (z.B.: günstigere Einzelkarten, günstigere Jahreskarten, mehr Angebote)","Ja","...decken und Geld ansparen.","Ja","Miete","Nein","Ja","3","2"
"2023/03/28 1:37:52 PM OEZ","Weiblich","30 - 39","Doktoratsstudium","Software & IT-Services","Stadt","Omnivor (tierische und pflanzliche Lebensmittel)","Ja","weniger als einmal im Monat","Normal (ohne Käse, ohne Schärfe, keine spezielle Verarbeitung)","meistens spontan","","Ja","1","Italienisch;Österreichisch;Chinesisch;Mexikanisch;Indisch;Thailändisch;Israelisch","circa alle zwei Monate","Ja","in mehreren Größen","10","20","1 Tag","Straßenbahn","Freizeit","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten)","Ja","...decken und Geld ansparen.","Ja","Miete","Nein","Ja","2","2"
"2023/03/28 1:47:27 PM OEZ","Weiblich","40 - 49","Masterstudium","Software & IT-Services","Stadt","Omnivor (tierische und pflanzliche Lebensmittel)","Ja","weniger als einmal im Monat","Käse","meistens geplant","","Ja","1","Italienisch;Österreichisch;Chinesisch;Mexikanisch;Indisch;Thailändisch","zwei bis vier Mal im Jahr","Ja","in einer Größe","5","1","0 Tage","","","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten)","Ja","...decken und Geld ansparen.","Ja","Miete","Nein","Ja","2","2"
"2023/03/28 2:20:32 PM OEZ","Männlich","20 - 29","Lehre","Software & IT-Services","Land","Omnivor (tierische und pflanzliche Lebensmittel)","Ja","mehrmals im Monat","Pikant","meistens spontan","","Ja","2","Italienisch;Österreichisch;Chinesisch;Mexikanisch;Indisch;Thailändisch","zwei bis vier Mal im Jahr","Ja","in einer Größe","6","0","0 Tage","","","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten)","Nein","...decken und Geld ansparen.","Nein","","","","2","1"
"2023/03/28 2:21:49 PM OEZ","Männlich","30 - 39","Lehre","Software & IT-Services","Stadt","Omnivor (tierische und pflanzliche Lebensmittel)","Ja","weniger als einmal im Monat","Käse","meistens spontan","","Nein","","Italienisch;Österreichisch;Chinesisch;Mexikanisch;Indisch;Thailändisch;Vietnamesisch, Japanisch, Tschechisch (Böhmische Küche)","zwei bis vier Mal im Jahr","Ja","in einer Größe","5","2","0 Tage","","","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten);Im Homeoffice benötigt man keine öffentlichen Verkehrsmittel","Ja","...decken und Geld ansparen.","Ja","Miete","Ja","Nein","3","3"
"2023/03/28 2:41:58 PM OEZ","Männlich","30 - 39","Matura/Abitur","Baugewerbe","Stadt","Omnivor (tierische und pflanzliche Lebensmittel)","Ja","weniger als einmal im Monat","Käse","meistens spontan","","Ja","2","Italienisch;Österreichisch;Chinesisch;Mexikanisch;Indisch","einmal im Jahr","Ja","in einer Größe","2","1","0 Tage","","","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten);Preis (z.B.: günstigere Einzelkarten, günstigere Jahreskarten, mehr Angebote)","Ja","...decken und Geld ansparen.","Nein","Miete","","","1","2"
"2023/03/28 2:49:56 PM OEZ","Weiblich","60 - 69","Weiterführende Schule ohne Matura","Sonstige","Land","Omnivor (tierische und pflanzliche Lebensmittel)","Ja","einmal pro Woche","Normal (ohne Käse, ohne Schärfe, keine spezielle Verarbeitung)","meistens geplant","","Ja","2","Italienisch;Österreichisch","einmal im Jahr","Ja","in einer Größe","15","2","0 Tage","","","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten);Preis (z.B.: günstigere Einzelkarten, günstigere Jahreskarten, mehr Angebote)","Nein","...decken.","Ja","","Ja","Ja","3","3"
"2023/03/28 3:08:57 PM OEZ","Männlich","20 - 29","Masterstudium","Software & IT-Services","Stadt","Vegetarisch (kein Fleisch und Fisch)","Nein","","","","passt nicht zu Ihrer Ernährung","Ja","3","Italienisch;Österreichisch;Chinesisch;Mexikanisch;Indisch;Thailändisch;Asiatisch, Japanisch, Koreanisch, Arabisch","einmal im Jahr","Ja","in einer Größe","3","0","6 Tage","Bus;Zug;Straßenbahn;U-Bahn","Beides","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten);Digitalisierung (Kartenzahlung, e-Tickets, Vereinfachung internationaler Reisen)","Ja","...decken und Geld ansparen.","Ja","Miete","Ja","Ja","1","2"
"2023/03/28 3:23:53 PM OEZ","Männlich","20 - 29","Bachelorstudium","Ausbildung","Land","Vegan (keine tierischen Produkte)","Nein","","","","passt nicht zu Ihrer Ernährung","Ja","3","Italienisch;Österreichisch;Chinesisch;Mexikanisch;Indisch;Thailändisch","zwei bis vier Mal im Jahr","Ja","in einer Größe","4","0","1 Tag","Bus;Zug;Straßenbahn;U-Bahn","Beides","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten)","Ja","...decken.","Ja","Miete","Ja","Ja","2","2"
"2023/03/28 3:27:36 PM OEZ","Männlich","70 - 79","Diplomstudium","Sonstige","Land","Omnivor (tierische und pflanzliche Lebensmittel)","Nein","","","","passt nicht zu Ihrer Ernährung","Ja","2","Italienisch;Österreichisch;Indisch","speziell zu Sales und Abverkäufen","Ja","in einer Größe","5","2","0 Tage","","","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten);Preis (z.B.: günstigere Einzelkarten, günstigere Jahreskarten, mehr Angebote)","Nein","...decken und Geld ansparen.","Nein","","","","3","2"
"2023/03/28 3:39:46 PM OEZ","Männlich","30 - 39","Lehre","Sonstige","Land","Omnivor (tierische und pflanzliche Lebensmittel)","Ja","weniger als einmal im Monat","Käse & Pikant","meistens spontan","","Nein","","Italienisch;Österreichisch;Chinesisch;Mexikanisch;Indisch;Thailändisch;Japanisch ","zwei bis vier Mal im Jahr","Ja","in einer Größe","6","3","5 Tage","Bus;Zug;Straßenbahn","Beides","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten);Am land ist es eine Katastrophe mit der anbindung","Ja","...decken.","Ja","Eigentum","Ja","Ja","3","3"
"2023/03/28 3:51:39 PM OEZ","Weiblich","30 - 39","Masterstudium","Freizeit & Reisen","Stadt","Omnivor (tierische und pflanzliche Lebensmittel)","Ja","einmal im Monat","Käse & Pikant","oft spontan","","Ja","2","Italienisch;Österreichisch;Chinesisch;Mexikanisch;Indisch;Thailändisch","zwei bis vier Mal im Jahr","Ja","in einer Größe","5","1","0 Tage","","","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten)","Nein","...decken und Geld ansparen.","Nein","","","","2","2"
"2023/03/28 4:02:44 PM OEZ","Weiblich","20 - 29","Bachelorstudium","Software & IT-Services","Land","Omnivor (tierische und pflanzliche Lebensmittel)","Nein","","","","Sie leiden an Unverträglichkeiten","Ja","2","Italienisch;Österreichisch;Chinesisch;Mexikanisch","speziell zu Sales und Abverkäufen","Ja","in mehreren Größen","5","4","2 Tage","Zug;U-Bahn","Beides","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten)","Nein","...decken und Geld ansparen.","Nein","","","","3","2"
"2023/03/28 5:08:28 PM OEZ","Männlich","20 - 29","Masterstudium","Software & IT-Services","Land","Pescetarier (kein Fleisch)","Ja","weniger als einmal im Monat","Käse","meistens geplant","","Ja","1","Italienisch;Österreichisch;Chinesisch;Mexikanisch;Indisch;Thailändisch;Sushi und so","mehrmals im Monat","Ja","in einer Größe","18","2","0 Tage","","","Preis (z.B.: günstigere Einzelkarten, günstigere Jahreskarten, mehr Angebote);Hagenberg besitzt keine zugverbindung, daher sind fragen, ob hagenberg eine gute zugverbindung hat eine zumutung. Bitte nicht machen. Wieso kosten der bus von hgb nach linz über 5 euro ab 26 für studenten, gehts nu. Wieso gibts in hagenberg eigentlich immer nu koan chinesen?! Danke fürs lesen.","Ja","...decken und Geld ansparen.","Ja","Eigentum","Nein","Nein","2","4"
"2023/03/28 5:23:38 PM OEZ","Männlich","20 - 29","Masterstudium","Software & IT-Services","Stadt","Omnivor (tierische und pflanzliche Lebensmittel)","Ja","einmal im Monat","Käse","meistens spontan","","Ja","3","Italienisch;Österreichisch;Chinesisch;Mexikanisch;Indisch;Thailändisch","gar nicht","","","","","4 Tage","Bus;Zug;Straßenbahn","Beides","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten)","Ja","...decken und Geld ansparen.","Nein","Miete","","","1","1"
"2023/03/28 6:20:03 PM OEZ","Männlich","30 - 39","Bachelorstudium","Ausbildung","Stadt","Omnivor (tierische und pflanzliche Lebensmittel)","Ja","mehrmals im Monat","Normal (ohne Käse, ohne Schärfe, keine spezielle Verarbeitung)","meistens spontan","","Nein","","Italienisch;Österreichisch;Chinesisch;Mexikanisch;Indisch;Thailändisch;Ich mag Essen aus allen Regionen ","einmal im Jahr","Nein","in einer Größe","1","0","0 Tage","","","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten);Preis (z.B.: günstigere Einzelkarten, günstigere Jahreskarten, mehr Angebote);Komfort (z.B.: mehr Sitzmöglichkeiten, bequemere Sitze,...)","Nein","...decken und Geld ansparen.","Ja","","Ja","Ja","3","2"
"2023/03/28 6:32:37 PM OEZ","Weiblich","40 - 49","Bachelorstudium","Sonstige","Land","Pescetarier (kein Fleisch)","Ja","weniger als einmal im Monat","Normal (ohne Käse, ohne Schärfe, keine spezielle Verarbeitung)","meistens spontan","","Nein","","Italienisch;Österreichisch;Indisch","einmal im Jahr","Ja","in einer Größe","2","1","0 Tage","","","Ich wohne am Land und habe hier keine Öffis","Ja","...decken und Geld ansparen.","Ja","Eigentum","Ja","Ja","3","3"
"2023/03/28 6:32:56 PM OEZ","Männlich","20 - 29","Bachelorstudium","Ausbildung","Land","Omnivor (tierische und pflanzliche Lebensmittel)","Ja","weniger als einmal im Monat","Käse","meistens spontan","","Nein","","Italienisch;Österreichisch;Mexikanisch;Japanisch","gar nicht","","","","","0 Tage","","","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten);Preis (z.B.: günstigere Einzelkarten, günstigere Jahreskarten, mehr Angebote)","Ja","...decken und Geld ansparen.","Nein","WG oder Studentenheim","","","2","1"
"2023/03/28 6:41:26 PM OEZ","Männlich","20 - 29","Bachelorstudium","Software & IT-Services","Land","Omnivor (tierische und pflanzliche Lebensmittel)","Ja","weniger als einmal im Monat","Käse","meistens spontan","","Nein","","Italienisch;Österreichisch;Mexikanisch;Japanisch","gar nicht","","","","","0 Tage","","","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten);Preis (z.B.: günstigere Einzelkarten, günstigere Jahreskarten, mehr Angebote)","Ja","...decken und Geld ansparen.","Nein","WG oder Studentenheim","","","2","1"
"2023/03/28 6:43:59 PM OEZ","Männlich","20 - 29","Bachelorstudium","Software & IT-Services","Land","Omnivor (tierische und pflanzliche Lebensmittel)","Ja","mehrmals im Monat","Käse & Pikant","oft spontan","","Ja","4","Italienisch;Chinesisch;Mexikanisch;Indisch;Thailändisch;Japanisch","zwei bis vier Mal im Jahr","Nein","in einer Größe","5","0","0 Tage","","","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten);Preis (z.B.: günstigere Einzelkarten, günstigere Jahreskarten, mehr Angebote)","Ja","...decken und Geld ansparen.","Nein","WG oder Studentenheim","","","2","1"
"2023/03/28 6:46:54 PM OEZ","Männlich","30 - 39","Bachelorstudium","Ausbildung","Land","Omnivor (tierische und pflanzliche Lebensmittel)","Ja","weniger als einmal im Monat","Käse","oft geplant","","Ja","3","Italienisch;Österreichisch;Chinesisch;Mexikanisch;Indisch","speziell zu Sales und Abverkäufen","Ja","in einer Größe","3","1","0 Tage","","","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten);Preis (z.B.: günstigere Einzelkarten, günstigere Jahreskarten, mehr Angebote);Komfort (z.B.: mehr Sitzmöglichkeiten, bequemere Sitze,...)","Ja","...decken und Geld ansparen.","Nein","Eigentum","","","4","3"
"2023/03/28 7:01:42 PM OEZ","Männlich","20 - 29","Masterstudium","Transportwesen & Logistik","Stadt","Vegetarisch (kein Fleisch und Fisch)","Nein","","","","schmeckt Ihnen nicht","Ja","3","Italienisch;Österreichisch;Chinesisch;Mexikanisch;Indisch;Thailändisch","gar nicht","","","","","7 Tage","Bus;Zug;Straßenbahn;U-Bahn","Beides","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten);Preis (z.B.: günstigere Einzelkarten, günstigere Jahreskarten, mehr Angebote);Komfort (z.B.: mehr Sitzmöglichkeiten, bequemere Sitze,...);Gesundheit (z.B.: FFP2 Maskenpflicht, bessere Hygiene,...)","Ja","...decken und Geld ansparen.","Ja","Miete","Nein","Ja","1","4"
"2023/03/28 7:56:12 PM OEZ","Männlich","20 - 29","Bachelorstudium","Software & IT-Services","Stadt","Omnivor (tierische und pflanzliche Lebensmittel)","Ja","mehrmals im Monat","Käse & Pikant","meistens spontan","","Ja","4","Italienisch;Österreichisch;Chinesisch;Indisch;Thailändisch","einmal im Jahr","Nein","in einer Größe","3","0","0 Tage","","","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten);Preis (z.B.: günstigere Einzelkarten, günstigere Jahreskarten, mehr Angebote);Komfort (z.B.: mehr Sitzmöglichkeiten, bequemere Sitze,...)","Nein","...decken und Geld ansparen.","Nein","","","","1","3"
"2023/03/28 8:04:36 PM OEZ","Weiblich","20 - 29","Bachelorstudium","Ausbildung","Stadt","Vegetarisch (kein Fleisch und Fisch)","Nein","","","","passt nicht zu Ihrer Ernährung","Ja","1","Italienisch;Österreichisch;Chinesisch;Mexikanisch","zwei bis vier Mal im Jahr","Ja","in einer Größe","6","3","1 Tag","Bus;Zug;Straßenbahn","Freizeit","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten);Preis (z.B.: günstigere Einzelkarten, günstigere Jahreskarten, mehr Angebote);Komfort (z.B.: mehr Sitzmöglichkeiten, bequemere Sitze,...)","Ja","...decken und Geld ansparen.","Ja","WG oder Studentenheim","Ja","Nein","2","2"
"2023/03/28 8:37:08 PM OEZ","Weiblich","50 - 59","Bachelorstudium","Ausbildung","Stadt","Omnivor (tierische und pflanzliche Lebensmittel)","Nein","","","","passt nicht zu Ihrer Ernährung","Nein","","Italienisch;Österreichisch;Chinesisch","einmal im Jahr","Ja","in einer Größe","3","1","0 Tage","","","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten);Preis (z.B.: günstigere Einzelkarten, günstigere Jahreskarten, mehr Angebote);schnellere Wegzeiten","Ja","...decken und Geld ansparen.","Ja","Eigentum","Nein","Ja","2","3"
"2023/03/29 2:16:40 AM OEZ","Männlich","20 - 29","Matura/Abitur","Ausbildung","Stadt","Omnivor (tierische und pflanzliche Lebensmittel)","Ja","mehrmals im Monat","Käse","oft geplant","","Ja","1","Italienisch;Österreichisch;Chinesisch;Mexikanisch;Indisch;Thailändisch","gar nicht","","","","","3 Tage","Straßenbahn","Beides","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten)","Nein","...decken und Geld ansparen.","Nein","","","","1","1"
"2023/03/29 7:33:48 AM OEZ","Männlich","40 - 49","Masterstudium","Software & IT-Services","Stadt","Omnivor (tierische und pflanzliche Lebensmittel)","Ja","einmal im Monat","Normal (ohne Käse, ohne Schärfe, keine spezielle Verarbeitung)","meistens spontan","","Ja","2","Italienisch;Österreichisch;Chinesisch;Mexikanisch;Indisch;Thailändisch;überall","gar nicht","","","","","0 Tage","","","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten)","Nein","...decken und Geld ansparen.","Ja","","Nein","Nein","2","3"
"2023/03/29 8:07:16 AM OEZ","Weiblich","20 - 29","Bachelorstudium","Software & IT-Services","Land","Omnivor (tierische und pflanzliche Lebensmittel)","Ja","einmal im Monat","Käse & Pikant","meistens spontan","","Ja","2","Italienisch;Österreichisch;Chinesisch;Mexikanisch;Indisch;Thailändisch","speziell zu Sales und Abverkäufen","Ja","in mehreren Größen","50","20","1 Tag","Bus","Beides","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten);Preis (z.B.: günstigere Einzelkarten, günstigere Jahreskarten, mehr Angebote)","Nein","...decken.","Ja","","Ja","Ja","2","2"
"2023/03/29 8:11:44 AM OEZ","Männlich","20 - 29","Bachelorstudium","Software & IT-Services","Stadt","Omnivor (tierische und pflanzliche Lebensmittel)","Ja","mehrmals im Monat","Pikant","meistens spontan","","Ja","3","Italienisch;Österreichisch;Chinesisch;Mexikanisch;Indisch","gar nicht","","","","","1 Tag","Bus;Zug;Straßenbahn","Freizeit","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten)","Nein","...decken und Geld ansparen.","Ja","","Ja","Ja","2","2"
"2023/03/29 8:16:43 AM OEZ","Männlich","30 - 39","Bachelorstudium","Software & IT-Services","Land","Omnivor (tierische und pflanzliche Lebensmittel)","Ja","einmal im Monat","Normal (ohne Käse, ohne Schärfe, keine spezielle Verarbeitung)","meistens spontan","","Ja","1","Italienisch;Österreichisch;Chinesisch;Mexikanisch","einmal im Jahr","Ja","in einer Größe","1","0","2 Tage","Bus;Zug;Straßenbahn","Beides","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten);Preis (z.B.: günstigere Einzelkarten, günstigere Jahreskarten, mehr Angebote)","Ja","...decken und Geld ansparen.","Nein","WG oder Studentenheim","","","2","3"
"2023/03/29 8:20:15 AM OEZ","Männlich","20 - 29","Bachelorstudium","Software & IT-Services","Land","Omnivor (tierische und pflanzliche Lebensmittel)","Ja","weniger als einmal im Monat","Käse","meistens spontan","","Ja","3","Italienisch;Österreichisch;Chinesisch;Mexikanisch;Indisch;Thailändisch","zwei bis vier Mal im Jahr","Ja","in einer Größe","12","3","0 Tage","","","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten);Komfort (z.B.: mehr Sitzmöglichkeiten, bequemere Sitze,...)","Nein","...decken und Geld ansparen.","Nein","","","","3","4"
